Aleutians East Borough
Bristol Bay Borough
Denali Borough
Fairbanks North Star Borough
Kenai Peninsula Borough
Ketchikan Gateway Borough
Kodiak Island Borough
Lake and Peninsula Borough
Matanuska-Susitna Borough
North Slope Borough
Northwest Arctic Borough
Petersburg Borough
Municipality of Skagway Borough
Unorganized Borough
Aleutians West Census Area
Bethel Census Area
Dillingham Census Area
Hoonah-Angoon Census Area
Kusilvak Census Area
Nome Census Area
Prince of Wales-Hyder Census Area
Southeast Fairbanks Census Area
Valdez-Cordova Census Area
Yukon-Koyukuk Census Area
Municipality of Anchorage
City and Borough of Haines
City and Borough of Juneau
City and Borough of Sitka
City and Borough of Wrangell
City and Borough of Yakutat
