name,category,is_commonwealth,is_state,is_territory,is_federal_district,iso_3166,ansi_alphabetic_code,ansi_numeric_code,usps_code,uscg_code,gpo_abbrev,ap_abbrev,is_incorporated,is_organized,capital,largest_city,acquired_date,established_date,population,total_square_miles,total_square_kilometers,land_square_miles,land_square_kilometers,water_square_miles,water_square_kilometers,representatives
New Jersey,State,0,1,0,0,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,1,1,Trenton,Newark,,"Dec 18, 1787","9,005,644","8,723","22,591","7,354","19,047","1,368","3,544",12
New Mexico,State,0,1,0,0,US-NM,NM,35,NM,NM,N. Mex.,N.M.,1,1,Santa Fe,Albuquerque,,"Jan 6, 1912","2,088,070","121,590","314,917","121,298","314,161",292,757,3
New York,State,0,1,0,0,US-NY,NY,36,NY,NY,N.Y.,N.Y.,1,1,Albany,New York City,,"Jul 26, 1788","19,849,399","54,555","141,297","47,126","122,057","7,429","19,240",27
North Carolina,State,0,1,0,0,US-NC,NC,37,NC,NC,N.C.,N.C.,1,1,Raleigh,Charlotte,,"Nov 21, 1789","10,273,419","53,819","139,391","48,618","125,920","5,201","13,471",13
North Dakota,State,0,1,0,0,US-ND,ND,38,ND,ND,N. Dak.,N.D.,1,1,Bismarck,Fargo,,"Nov 2, 1889","755,393","70,698","183,108","69,001","178,711","1,698","4,397",1
Ohio,State,0,1,0,0,US-OH,OH,39,OH,OH,Ohio,Ohio,1,1,Columbus,Columbus,,"Mar 1, 1803","11,658,609","44,826","116,098","40,861","105,829","3,965","10,269",16
Oklahoma,State,0,1,0,0,US-OK,OK,40,OK,OK,Okla.,Okla.,1,1,Oklahoma City,Oklahoma City,,"Nov 16, 1907","3,930,864","69,899","181,037","68,595","177,660","1,304","3,377",5
Oregon,State,0,1,0,0,US-OR,OR,41,OR,OR,Oreg.,Ore.,1,1,Salem,Portland,,"Feb 14, 1859","4,142,776","98,379","254,799","95,988","248,608","2,391","6,191",5
Pennsylvania,State (Commonwealth),1,1,0,0,US-PA,PA,42,PA,PA,Pa.,Pa.,1,1,Harrisburg,Philadelphia,,"Dec 12, 1787","12,805,537","46,054","119,280","44,743","115,883","1,312","3,397",18
Rhode Island,State,0,1,0,0,US-RI,RI,44,RI,RI,R.I.,R.I.,1,1,Providence,Providence,,"May 29, 1790","1,059,639","1,545","4,001","1,034","2,678",511,"1,324",2
South Carolina,State,0,1,0,0,US-SC,SC,45,SC,SC,S.C.,S.C.,1,1,Columbia,Charleston,,"May 23, 1788","5,024,369","32,020","82,933","30,061","77,857","1,960","5,076",7
South Dakota,State,0,1,0,0,US-SD,SD,46,SD,SD,S. Dak.,S.D.,1,1,Pierre,Sioux Falls,,"Nov 2, 1889","869,666","77,116","199,729","75,811","196,350","1,305","3,379",1
Tennessee,State,0,1,0,0,US-TN,TN,47,TN,TN,Tenn.,Tenn.,1,1,Nashville,Nashville,,"Jun 1, 1796","6,715,984","42,144","109,153","41,235","106,798",909,"2,355",9
Texas,State,0,1,0,0,US-TX,TX,48,TX,TX,Tex.,Texas,1,1,Austin,Houston,,"Dec 29, 1845","28,304,596","268,596","695,662","261,232","676,587","7,365","19,075",36
Utah,State,0,1,0,0,US-UT,UT,49,UT,UT,Utah,Utah,1,1,Salt Lake City,Salt Lake City,,"Jan 4, 1896","3,101,833","84,897","219,882","82,170","212,818","2,727","7,064",4
Vermont,State,0,1,0,0,US-VT,VT,50,VT,VT,Vt.,Vt.,1,1,Montpelier,Burlington,,"Mar 4, 1791","623,657","9,616","24,906","9,217","23,871",400,"1,035",1
Virginia,State (Commonwealth),1,1,0,0,US-VA,VA,51,VA,VA,Va.,Va.,1,1,Richmond,Virginia Beach,,"Jun 25, 1788","8,470,020","42,775","110,787","39,490","102,279","3,285","8,508",11
Washington,State,0,1,0,0,US-WA,WA,53,WA,WN,Wash.,Wash.,1,1,Olympia,Seattle,,"Nov 11, 1889","7,405,743","71,298","184,661","66,456","172,119","4,842","12,542",10
West Virginia,State,0,1,0,0,US-WV,WV,54,WV,WV,W. Va.,W.Va.,1,1,Charleston,Charleston,,"Jun 20, 1863","1,815,857","24,230","62,756","24,038","62,259",192,497,3
Wisconsin,State,0,1,0,0,US-WI,WI,55,WI,WS,Wis.,Wis.,1,1,Madison,Milwaukee,,"May 29, 1848","5,795,483","65,496","169,635","54,158","140,268","11,339","29,367",8
Wyoming,State,0,1,0,0,US-WY,WY,56,WY,WY,Wyo.,Wyo.,1,1,Cheyenne,Cheyenne,,"Jul 10, 1890","579,315","97,813","253,335","97,093","251,470",720,"1,864",1
American Samoa,Insular area (Territory),0,0,1,0,AS ASM 016 US-AS,AS,60,AS,AS,A.S.,American Samoa,0,0,Pago Pago,Pago Pago,1900,,"57,400",581,"1,505",76,198,505,"1,307",1
Guam,Insular area (Territory),0,0,1,0,GU GUM 316 US-GU,GU,66,GU,GU,Guam,Guam,0,1,Hagåtña,Dededo,1899,,"161,700",571,"1,478",210,543,361,935,1
Northern Mariana Islands,Insular area (Commonwealth),0,0,1,0,MP MNP 580 US-MP,MP,69,MP,CM,M.P.,Northern Mariana Islands,0,1,Saipan,Saipan,1986,,"52,300","1,976","5,117",182,472,"1,793","4,644",1
Puerto Rico,Insular area (Territory),0,0,1,0,PR PRI 630 US-PR,PR,72,PR,PR,P.R.,Puerto Rico,0,1,San Juan,San Juan,1899,,"3,337,177","5,325","13,791","3,424","8,868","1,901","4,924",1
U.S. Virgin Islands,Insular area (Territory),0,0,1,0,VI VIR 850 US-VI,VI,78,VI,VI,V.I.,U.S. Virgin Islands,0,1,Charlotte Amalie,Charlotte Amalie,1917,,"103,700",733,"1,898",134,348,599,"1,550",1
U.S. Minor Outlying Islands,Insular areas,0,0,0,0,UM UMI 581 US-UM,UM,74,,,,,0,0,Washington DC,Wake Island,,,300,13.2,34.2,1.6,4.1,11.6,30.1,0
