Accomack County
Albemarle County
Alleghany County
Amelia County
Amherst County
Appomattox County
Arlington County
Augusta County
Bath County
Bedford County
Bland County
Botetourt County
Brunswick County
Buchanan County
Buckingham County
Campbell County
Caroline County
Carroll County
Charles City County
Charlotte County
Chesterfield County
Clarke County
Craig County
Culpeper County
Cumberland County
Dickenson County
Dinwiddie County
Essex County
Fairfax County
Fauquier County
Floyd County
Fluvanna County
Franklin County
Frederick County
Giles County
Gloucester County
Goochland County
Grayson County
Greene County
Greensville County
Halifax County
Hanover County
Henrico County
Henry County
Highland County
Isle of Wight County
James City County
King and Queen County
King George County
King William County
Lancaster County
Lee County
Loudoun County
Louisa County
Lunenburg County
Madison County
Mathews County
Mecklenburg County
Middlesex County
Montgomery County
Nelson County
New Kent County
Northampton County
Northumberland County
Nottoway County
Orange County
Page County
Patrick County
Pittsylvania County
Powhatan County
Prince Edward County
Prince George County
Prince William County
Pulaski County
Rappahannock County
Richmond County
Roanoke County
Rockbridge County
Rockingham County
Russell County
Scott County
Shenandoah County
Smyth County
Southampton County
Spotsylvania County
Stafford County
Surry County
Sussex County
Tazewell County
Warren County
Washington County
Westmoreland County
Wise County
Wythe County
York County
City of Alexandria
City of Bristol
City of Buena Vista
City of Charlottesville
City of Chesapeake
City of Colonial Heights
City of Covington
City of Danville
City of Emporia
City of Fairfax
City of Falls Church
City of Franklin
City of Fredericksburg
City of Galax
City of Hampton
City of Harrisonburg
City of Hopewell
City of Lexington
City of Lynchburg
City of Manassas
City of Manassas Park
City of Martinsville
City of Newport News
City of Norfolk
City of Norton
City of Petersburg
City of Poquoson
City of Portsmouth
City of Radford
City of Richmond
City of Roanoke
City of Salem
City of Staunton
City of Suffolk
City of Virginia Beach
City of Waynesboro
City of Williamsburg
City of Winchester
